sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Parish Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Palliative Care Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Course Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,London Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Centre Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Agrotech Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Civil Society Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Major Donor Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Technical Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Locality Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Major Gifts Assistant Vice President,5,Assistant Vice President,3795,Assistant Vice President,3795
Non-Profit,Relationship Manager Major Gifts,5,Relationship Manager,3015,Manager,278939
Non-Profit,National Major Gifts Officer,5,Major Gifts Officer,2458,Major Gifts Officer,2458
Non-Profit,Senior Capacity Development Officer,5,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Arts Development Officer,5,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior International Development Officer,5,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Market Development Officer,5,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Community Development Officer Youth,5,Community Development Officer,1794,Community Development Officer,1794
Non-Profit,Export Business Development Officer,5,Business Development Officer,1681,Business Development Officer,1703
Non-Profit,Principal Community Development Officer,5,Principal Officer,690,Principal Officer,710
Non-Profit,Community Philanthropy Officer,5,Community Officer,548,Community Officer,889
Non-Profit,Chief Program Development Officer,5,Chief Program Officer,547,Chief Program Officer,547
Non-Profit,Fundraising Manager Major Gifts,5,Major Gifts Manager,455,Manager,278939
Non-Profit,Capacity Building Development Officer,5,Capacity Building Officer,397,Officer,47467
Non-Profit,Associate Program Development Officer,5,Associate Program Officer,397,Associate Program Officer,397
Non-Profit,Regional Project Development Officer,5,Regional Development Officer,330,Regional Development Officer,330
Non-Profit,South East Regional Fundraiser,5,Regional Fundraiser,232,Regional Fundraiser,232
Non-Profit,Regional Fundraiser South West,5,Regional Fundraiser,232,Regional Fundraiser,232
Non-Profit,Corporate Philanthropy Officer,5,Philanthropy Officer,163,Officer,47467
Non-Profit,Student Philanthropy Officer,5,Philanthropy Officer,163,Officer,47467
Non-Profit,Individual Philanthropy Officer,5,Philanthropy Officer,163,Officer,47467
Non-Profit,Assistant Industrial Development Officer,5,Assistant Development Officer,142,Assistant Development Officer,142
Non-Profit,Development Officer Volunteer,5,Volunteer Development Officer,95,Volunteer Development Officer,95
Non-Profit,Major Gifts Administrative Assistant,5,Major Gifts Assistant,80,Assistant,99968
Non-Profit,Major Gifts Assistant Manager,4,Assistant Manager,26925,Assistant Manager,33267
Non-Profit,Major Gifts Senior Manager,4,Senior Manager,13006,Senior Manager,16273
Non-Profit,Entrepreneurship Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Value Chain Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Land Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Content Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Annual Fund Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Recreation Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Academic Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Database Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Disability Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Wales Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Technology Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Integration Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Trust Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Congregational Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Capital Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Livelihoods Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Major Gifts Advisor,4,Senior Advisor,10354,Senior Advisor,10668
Non-Profit,Community Philanthropy Manager,4,Community Manager,4883,Community Manager,6470
Non-Profit,Major Gifts Director Assistant,4,Director Assistant,3263,Director Assistant,3456
Non-Profit,Senior Sustainable Development Officer,4,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Organizational Development Officer,4,Senior Development Officer,1944,Senior Development Officer,1944
