sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Justice Sector Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,General Development Officer,34,Development Officer,11648,Development Officer,12895
Non-Profit,Pathways Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,English Language Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Campaign Development Officer,11,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Government,1,Development Officer,11648,Development Officer,12895
Non-Profit,Audit Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Faith Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,IS Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,County Ecumenical Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Environment Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Parks Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Philanthropic Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Examination Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Irish Language Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Irish Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Provincial Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Multicultural Activities Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Volunteers Development Officer Investing,2,Development Officer,11648,Development Officer,12895
Non-Profit,Field Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Migration Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Labour Force Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Relations Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer High Value Relationships,1,Development Officer,11648,Development Officer,12895
Non-Profit,Media Programme Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer India,2,Development Officer,11648,Development Officer,12895
Non-Profit,Undergraduate Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Gift Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Relationship Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Group Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Conference Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,European Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,MIS Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Water Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Volunteering Development Officer,35,Development Officer,11648,Development Officer,12895
Non-Profit,Board Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Representation,1,Development Officer,11648,Development Officer,12895
Non-Profit,Central Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Environmental Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Aboriginal Transport Development Officer,1,Development Officer,11648,Development Officer,12895
